錒|锕|SayJack|
藹|蔼|SayJack|
愛|爱|SayJack|
礙|碍|SayJack|
捱|挨|SayJack|
皚|皑|SayJack|
靄|霭|SayJack|
曖|暧|SayJack|
騃|呆|SayJack|
嬡|嫒|SayJack|
璦|瑷|SayJack|
鎄|锿|SayJack|
噯|嗳|SayJack|
菴|庵|SayJack|
鵪|鹌|SayJack|
闇|暗|SayJack|
銨|铵|SayJack|
諳|谙|SayJack|
骯|肮|SayJack|
奧|奥|SayJack|
襖|袄|SayJack|
嶴|岙|SayJack|
驁|骜|SayJack|
鼇|鳌|SayJack|
媼|媪|SayJack|
罷|罢|SayJack|
壩|坝|SayJack|
鈀|钯|SayJack|
䰾|鲃|SayJack|
擺|摆|SayJack|
敗|败|SayJack|
唄|呗|SayJack|
辦|办|SayJack|
頒|颁|SayJack|
闆|板|SayJack|
絆|绊|SayJack|
鈑|钣|SayJack|
綁|绑|SayJack|
幫|帮|SayJack|
謗|谤|SayJack|
鎊|镑|SayJack|
鮑|鲍|SayJack|
報|报|SayJack|
寶|宝|SayJack|
飽|饱|SayJack|
鉋|刨|SayJack|
鴇|鸨|SayJack|
備|备|SayJack|
輩|辈|SayJack|
貝|贝|SayJack|
狽|狈|SayJack|
盃|杯|SayJack|
憊|惫|SayJack|
揹|背|SayJack|
鋇|钡|SayJack|
鵯|鹎|SayJack|
錛|锛|SayJack|
繃|绷|SayJack|
鏰|镚|SayJack|
筆|笔|SayJack|
畢|毕|SayJack|
閉|闭|SayJack|
痺|痹|SayJack|
幣|币|SayJack|
斃|毙|SayJack|
篳|筚|SayJack|
贔|赑|SayJack|
賁|贲|SayJack|
嗶|哔|SayJack|
鰏|鲾|SayJack|
鉍|铋|SayJack|
詖|诐|SayJack|
蹕|跸|SayJack|
蓽|荜|SayJack|
編|编|SayJack|
辯|辩|SayJack|
變|变|SayJack|
邊|边|SayJack|
辮|辫|SayJack|
貶|贬|SayJack|
鯿|鳊|SayJack|
籩|笾|SayJack|
緶|缏|SayJack|
標|标|SayJack|
錶|表|SayJack|
鑣|镳|SayJack|
飆|飙|SayJack|
颮|飑|SayJack|
鰾|鳔|SayJack|
鏢|镖|SayJack|
別|别|SayJack|
彆|别|SayJack|
鼈|鳖|SayJack|
鱉|鳖|SayJack|
癟|瘪|SayJack|
殯|殡|SayJack|
繽|缤|SayJack|
濱|滨|SayJack|
賓|宾|SayJack|
瀕|濒|SayJack|
鬢|鬓|SayJack|
檳|槟|SayJack|
鑌|镔|SayJack|
