Traditional,Simplified,Source
啊,啊,SayJack
阿,阿,SayJack
嗄,嗄,SayJack
艾,艾,SayJack
埃,埃,SayJack
哎,哎,SayJack
哀,哀,SayJack
挨,挨,SayJack
唉,唉,SayJack
癌,癌,SayJack
隘,隘,SayJack
矮,矮,SayJack
欸,欸,SayJack
毐,毐,SayJack
安,安,SayJack
按,按,SayJack
案,案,SayJack
鞍,鞍,SayJack
暗,暗,SayJack
岸,岸,SayJack
黯,黯,SayJack
俺,俺,SayJack
氨,氨,SayJack
庵,庵,SayJack
埯,埯,SayJack
揞,揞,SayJack
盦,盦,SayJack
桉,桉,SayJack
犴,犴,SayJack
昂,昂,SayJack
盎,盎,SayJack
熬,熬,SayJack
懊,懊,SayJack
傲,傲,SayJack
凹,凹,SayJack
拗,拗,SayJack
澳,澳,SayJack
坳,坳,SayJack
璈,璈,SayJack
嗷,嗷,SayJack
敖,敖,SayJack
鏖,鏖,SayJack
獒,獒,SayJack
聱,聱,SayJack
翱,翱,SayJack
廒,廒,SayJack
遨,遨,SayJack
鏊,鏊,SayJack
螯,螯,SayJack
把,把,SayJack
爸,爸,SayJack
扒,扒,SayJack
吧,吧,SayJack
巴,巴,SayJack
霸,霸,SayJack
八,八,SayJack
叭,叭,SayJack
芭,芭,SayJack
疤,疤,SayJack
拔,拔,SayJack
笆,笆,SayJack
跋,跋,SayJack
耙,耙,SayJack
靶,靶,SayJack
捌,捌,SayJack
魃,魃,SayJack
粑,粑,SayJack
灞,灞,SayJack
菝,菝,SayJack
柏,柏,SayJack
拜,拜,SayJack
白,白,SayJack
百,百,SayJack
稗,稗,SayJack
捭,捭,SayJack
佰,佰,SayJack
掰,掰,SayJack
板,板,SayJack
拌,拌,SayJack
版,版,SayJack
般,般,SayJack
班,班,SayJack
扮,扮,SayJack
伴,伴,SayJack
斑,斑,SayJack
半,半,SayJack
搬,搬,SayJack
瓣,瓣,SayJack
扳,扳,SayJack
舨,舨,SayJack
瘢,瘢,SayJack
坂,坂,SayJack
靽,靽,SayJack
阪,阪,SayJack
癍,癍,SayJack
傍,傍,SayJack
榜,榜,SayJack
磅,磅,SayJack
棒,棒,SayJack
邦,邦,SayJack
膀,膀,SayJack
梆,梆,SayJack
蚌,蚌,SayJack
浜,浜,SayJack
蒡,蒡,SayJack
褒,褒,SayJack
爆,爆,SayJack
堡,堡,SayJack
保,保,SayJack
胞,胞,SayJack
包,包,SayJack
抱,抱,SayJack
豹,豹,SayJack
刨,刨,SayJack
暴,暴,SayJack
