,,a,,Pinyin header
,,,0,Frequency header
錒,锕,,,3
,,ai,,Pinyin header
,,,2,Frequency header
藹,蔼,,,3
愛,爱,,,2
礙,碍,,,1
捱,挨,,,8
,,,0,Frequency header
皚,皑,,,3
靄,霭,,,3
曖,暧,,,3
騃,呆,,,4
嬡,嫒,,,3
璦,瑷,,,3
鎄,锿,,,3
噯,嗳,,,3
,,an,,Pinyin header
,,,1,Frequency header
菴,庵,,,4
,,,0,Frequency header
鵪,鹌,,,3
闇,暗,,,4
銨,铵,,,3
諳,谙,,,3
,,ang,,Pinyin header
,,,2,Frequency header
骯,肮,,,1
,,ao,,Pinyin header
,,,2,Frequency header
奧,奥,,,7
,,,1,Frequency header
襖,袄,,,1
,,,0,Frequency header
嶴,岙,,,8
驁,骜,,,3
鼇,鳌,,,4
媼,媪,,,7
,,ba,,Pinyin header
,,,2,Frequency header
罷,罢,,,2
,,,1,Frequency header
壩,坝,,,1
,,,0,Frequency header
鈀,钯,,,3
䰾,鲃,,,5
,,bai,,Pinyin header
,,,2,Frequency header
擺,摆,,,3
敗,败,,,3
,,,0,Frequency header
唄,呗,,,3
,,ban,,Pinyin header
,,,2,Frequency header
辦,办,,,1
頒,颁,,,3
闆,板,,,1
絆,绊,,,3
,,,0,Frequency header
鈑,钣,,,5
,,bang,,Pinyin header
,,,2,Frequency header
綁,绑,,,3
幫,帮,,,1
,,,1,Frequency header
謗,谤,,,3
,,,0,Frequency header
鎊,镑,,,3
,,bao,,Pinyin header
,,,2,Frequency header
鮑,鲍,,,3
報,报,,,1
寶,宝,,,1
飽,饱,,,3
,,,1,Frequency header
鉋,刨,,,4
,,,0,Frequency header
鴇,鸨,,,3
,,bei,,Pinyin header
,,,2,Frequency header
備,备,,,2
輩,辈,,,3
貝,贝,,,2
狽,狈,,,3
,,,1,Frequency header
盃,杯,,,4
憊,惫,,,3
揹,背,,,4
,,,0,Frequency header
鋇,钡,,,3
鵯,鹎,,,5
,,ben,,Pinyin header
,,,0,Frequency header
錛,锛,,,3
,,beng,,Pinyin header
,,,1,Frequency header
繃,绷,,,3
,,,0,Frequency header
鏰,镚,,,3
,,bi,,Pinyin header
,,,2,Frequency header
筆,笔,,,2
畢,毕,,,2
閉,闭,,,3
痺,痹,,,4
幣,币,,,1
斃,毙,,,1
,,,0,Frequency header
篳,筚,,,3
贔,赑,,,5
賁,贲,,,3
嗶,哔,,,3
鰏,鲾,,,5
鉍,铋,,,3
詖,诐,,,5
蹕,跸,,,3
蓽,荜,,,3
,,bian,,Pinyin header
,,,2,Frequency header
編,编,,,3
辯,辩,,,3
變,变,,,3
邊,边,,,2
辮,辫,,,3
貶,贬,,,3
,,,0,Frequency header
鯿,鳊,,,3
籩,笾,,,3
緶,缏,,,5
,,biao,,Pinyin header
,,,2,Frequency header
標,标,,,1
錶,表,,,1
,,,0,Frequency header
鑣,镳,,,3
飆,飙,,,3
颮,飑,,,5
鰾,鳔,,,3
鏢,镖,,,3
,,bie,,Pinyin header
,,,2,Frequency header
別,别,,,7
,,,1,Frequency header
彆,别,,,1
鼈,鳖,,,4
鱉,鳖,,,3
,,,0,Frequency header
癟,瘪,,,3
,,bin,,Pinyin header
,,,2,Frequency header
殯,殡,,,3
繽,缤,,,3
濱,滨,,,3
賓,宾,,,2
瀕,濒,,,3
,,,1,Frequency header
鬢,鬓,,,3
,,,0,Frequency header
檳,槟,,,3
鑌,镔,,,3
髕,髌,,,3
擯,摈,,,3
儐,傧,,,3
臏,膑,,,3
,,bing,,Pinyin header
,,,2,Frequency header
並,并,,,4
併,并,,,4
餅,饼,,,3
,,,1,Frequency header
稟,禀,,,4
,,bo,,Pinyin header
,,,2,Frequency header
蔔,卜,,,1
撥,拨,,,3
剝,剥,,,7
駁,驳,,,3
,,,0,Frequency header
鵓,鹁,,,3
餑,饽,,,3
鎛,镈,,,5
鮊,鲌,,,5
鮁,鲅,,,3
缽,钵,,,3
鈸,钹,,,3
蘗,檗,,,8
鉑,铂,,,3
襏,袯,,,5
,,bu,,Pinyin header
,,,2,Frequency header
佈,布,,,4
補,补,,,1
,,,0,Frequency header
鈽,钸,,,5
,,cai,,Pinyin header
,,,2,Frequency header
綵,彩,,,4
採,采,,,4
財,财,,,3
,,can,,Pinyin header
,,,2,Frequency header
慘,惨,,,3
慚,惭,,,3
殘,残,,,3
燦,灿,,,1
蠶,蚕,,,1
參,参,,,2
,,,0,Frequency header
叄,叁,,,7
驂,骖,,,3
,,cang,,Pinyin header
,,,2,Frequency header
滄,沧,,,3
倉,仓,,,2
艙,舱,,,3
蒼,苍,,,3
,,,0,Frequency header
傖,伧,,,3
,,ce,,Pinyin header
,,,2,Frequency header
測,测,,,3
廁,厕,,,3
側,侧,,,3
冊,册,,,4
,,,0,Frequency header
厠,厕,,,5
惻,恻,,,3
,,ceng,,Pinyin header
,,,2,Frequency header
層,层,,,1
,,cha,,Pinyin header
,,,2,Frequency header
剎,刹,,,7
詫,诧,,,3
,,,0,Frequency header
餷,馇,,,3
鍤,锸,,,3
鑔,镲,,,3
奼,姹,,,7
,,chai,,Pinyin header
,,,0,Frequency header
蠆,虿,,,3
儕,侪,,,3
釵,钗,,,3
,,chan,,Pinyin header
,,,2,Frequency header
纏,缠,,,1
鏟,铲,,,3
產,产,,,2
蟬,蝉,,,3
,,,1,Frequency header
剷,铲,,,4
攙,搀,,,1
闡,阐,,,3
饞,馋,,,1
,,,0,Frequency header
驏,骣,,,5
懺,忏,,,1
鑱,镵,,,5
囅,冁,,,3
諂,谄,,,3
蕆,蒇,,,3
禪,禅,,,3
嬋,婵,,,3
讒,谗,,,1
滻,浐,,,3
,,chang,,Pinyin header
,,,2,Frequency header
腸,肠,,,3
長,长,,,2
償,偿,,,1
場,场,,,3
暢,畅,,,3
嘗,尝,,,2
嚐,尝,,,4
廠,厂,,,1
,,,0,Frequency header
閶,阊,,,3
萇,苌,,,5
倀,伥,,,3
鯧,鲳,,,3
