Traditional,Simplified,Pinyin,Frequency,Notes
啊,啊,a,2,0
阿,阿,a,2,0
嗄,嗄,a,0,0
艾,艾,ai,2,0
埃,埃,ai,2,0
哎,哎,ai,2,0
哀,哀,ai,2,0
挨,挨,ai,2,0
唉,唉,ai,2,0
癌,癌,ai,2,0
隘,隘,ai,2,0
矮,矮,ai,2,0
欸,欸,ai,0,0
毐,毐,ai,0,0
安,安,an,2,0
按,按,an,2,0
案,案,an,2,0
鞍,鞍,an,2,0
暗,暗,an,2,0
岸,岸,an,2,0
黯,黯,an,2,0
俺,俺,an,1,0
氨,氨,an,1,0
庵,庵,an,1,0
埯,埯,an,0,0
揞,揞,an,0,0
盦,盦,an,0,0
桉,桉,an,0,0
犴,犴,an,0,0
昂,昂,ang,2,0
盎,盎,ang,2,0
熬,熬,ao,2,0
懊,懊,ao,2,0
傲,傲,ao,2,0
凹,凹,ao,2,0
拗,拗,ao,1,0
澳,澳,ao,1,0
坳,坳,ao,0,0
璈,璈,ao,0,0
嗷,嗷,ao,0,0
敖,敖,ao,0,0
鏖,鏖,ao,0,0
獒,獒,ao,0,0
聱,聱,ao,0,0
翱,翱,ao,0,0
廒,廒,ao,0,0
遨,遨,ao,0,0
鏊,鏊,ao,0,0
螯,螯,ao,0,0
把,把,ba,2,0
爸,爸,ba,2,0
扒,扒,ba,2,0
吧,吧,ba,2,0
巴,巴,ba,2,0
霸,霸,ba,2,0
八,八,ba,2,0
叭,叭,ba,2,0
芭,芭,ba,2,0
疤,疤,ba,2,0
拔,拔,ba,2,0
笆,笆,ba,2,0
跋,跋,ba,1,0
耙,耙,ba,1,0
靶,靶,ba,1,0
捌,捌,ba,1,0
魃,魃,ba,0,0
粑,粑,ba,0,0
灞,灞,ba,0,0
菝,菝,ba,0,0
柏,柏,bai,2,0
拜,拜,bai,2,0
白,白,bai,2,0
百,百,bai,2,0
稗,稗,bai,0,0
捭,捭,bai,0,0
佰,佰,bai,0,0
掰,掰,bai,0,0
板,板,ban,2,0
拌,拌,ban,2,0
版,版,ban,2,0
般,般,ban,2,0
班,班,ban,2,0
扮,扮,ban,2,0
伴,伴,ban,2,0
斑,斑,ban,2,0
半,半,ban,2,0
搬,搬,ban,2,0
瓣,瓣,ban,2,0
扳,扳,ban,1,0
舨,舨,ban,0,0
瘢,瘢,ban,0,0
坂,坂,ban,0,0
靽,靽,ban,0,0
阪,阪,ban,0,0
癍,癍,ban,0,0
傍,傍,bang,2,0
榜,榜,bang,2,0
磅,磅,bang,2,0
棒,棒,bang,2,0
邦,邦,bang,2,0
膀,膀,bang,2,0
梆,梆,bang,1,0
蚌,蚌,bang,1,0
浜,浜,bang,0,0
蒡,蒡,bang,0,0
褒,褒,bao,2,0
爆,爆,bao,2,0
堡,堡,bao,2,0
保,保,bao,2,0
胞,胞,bao,2,0
包,包,bao,2,0
抱,抱,bao,2,0
豹,豹,bao,2,0
刨,刨,bao,2,0
暴,暴,bao,2,0
苞,苞,bao,1,0
雹,雹,bao,1,0
煲,煲,bao,0,0
褓,褓,bao,0,0
趵,趵,bao,0,0
孢,孢,bao,0,0
葆,葆,bao,0,0
卑,卑,bei,2,0
碑,碑,bei,2,0
北,北,bei,2,0
被,被,bei,2,0
杯,杯,bei,2,0
悲,悲,bei,2,0
倍,倍,bei,2,0
背,背,bei,2,0
焙,焙,bei,1,0
邶,邶,bei,0,0
蓓,蓓,bei,0,0
孛,孛,bei,0,0
褙,褙,bei,0,0
碚,碚,bei,0,0
陂,陂,bei,0,0
鐾,鐾,bei,0,0
椑,椑,bei,0,0
鞴,鞴,bei,0,0
庳,庳,bei,0,0
悖,悖,bei,0,0
奔,奔,ben,2,0
笨,笨,ben,2,0
本,本,ben,2,0
坌,坌,ben,0,0
苯,苯,ben,0,0
畚,畚,ben,0,0
崩,崩,beng,2,0
蹦,蹦,beng,2,0
搒,搒,beng,0,0
甭,甭,beng,0,0
琫,琫,beng,0,0
迸,迸,beng,0,0
嘣,嘣,beng,0,0
泵,泵,beng,0,0
璧,璧,bi,2,0
敝,敝,bi,2,0
鄙,鄙,bi,2,0
臂,臂,bi,2,0
彼,彼,bi,2,0
逼,逼,bi,2,0
比,比,bi,2,0
避,避,bi,2,0
鼻,鼻,bi,2,0
弊,弊,bi,2,0
必,必,bi,2,0
庇,庇,bi,2,0
壁,壁,bi,2,0
碧,碧,bi,2,0
俾,俾,bi,2,0
蔽,蔽,bi,2,0
陛,陛,bi,2,0
荸,荸,bi,1,0
匕,匕,bi,1,0
狴,狴,bi,0,0
蚍,蚍,bi,0,0
篦,篦,bi,0,0
沘,沘,bi,0,0
箅,箅,bi,0,0
嬖,嬖,bi,0,0
裨,裨,bi,0,0
襞,襞,bi,0,0
吡,吡,bi,0,0
畀,畀,bi,0,0
婢,婢,bi,0,0
薜,薜,bi,0,0
滗,滗,bi,0,0
弼,弼,bi,0,0
睥,睥,bi,0,0
觱,觱,bi,0,0
毖,毖,bi,0,0
蓖,蓖,bi,0,0
愎,愎,bi,0,0
痹,痹,bi,0,0
妣,妣,bi,0,0
髀,髀,bi,0,0
秕,秕,bi,0,0
辨,辨,bian,2,0
匾,匾,bian,2,0
蝙,蝙,bian,2,0
遍,遍,bian,2,0
扁,扁,bian,2,0
便,便,bian,2,0
鞭,鞭,bian,2,0
卞,卞,bian,0,0
碥,碥,bian,0,0
弁,弁,bian,0,0
抃,抃,bian,0,0
褊,褊,bian,0,0
忭,忭,bian,0,0
汴,汴,bian,0,0
煸,煸,bian,0,0
砭,砭,bian,0,0
表,表,biao,2,0
彪,彪,biao,1,0
瀌,瀌,biao,0,0
瘭,瘭,biao,0,0
裱,裱,biao,0,0
婊,婊,biao,0,0
俵,俵,biao,0,0
蹩,蹩,bie,0,0
憋,憋,bie,0,0
彬,彬,bin,1,0
斌,斌,bin,0,0
玢,玢,bin,0,0
豳,豳,bin,0,0
柄,柄,bing,2,0
病,病,bing,2,0
冰,冰,bing,2,0
丙,丙,bing,2,0
兵,兵,bing,2,0
秉,秉,bing,1,0
并,并,bing,1,0
栟,栟,bing,0,0
邴,邴,bing,0,0
炳,炳,bing,0,0
摒,摒,bing,0,0
舶,舶,bo,2,0
泊,泊,bo,2,0
薄,薄,bo,2,0
博,博,bo,2,0
菠,菠,bo,2,0
跛,跛,bo,2,0
玻,玻,bo,2,0
膊,膊,bo,2,0
脖,脖,bo,2,0
勃,勃,bo,2,0
波,波,bo,2,0
搏,搏,bo,2,0
伯,伯,bo,2,0
播,播,bo,2,0
簸,簸,bo,2,0
渤,渤,bo,1,0
啵,啵,bo,0,0
礴,礴,bo,0,0
檗,檗,bo,0,0
帛,帛,bo,0,0
踣,踣,bo,0,0
亳,亳,bo,0,0
擘,擘,bo,0,0
嶓,嶓,bo,0,0
浡,浡,bo,0,0
僰,僰,bo,0,0
箔,箔,bo,0,0
卜,卜,bu,2,0
布,布,bu,2,0
捕,捕,bu,2,0
部,部,bu,2,0
步,步,bu,2,0
不,不,bu,2,0
怖,怖,bu,2,0
埠,埠,bu,2,0
簿,簿,bu,2,0
哺,哺,bu,1,0
醭,醭,bu,0,0
逋,逋,bu,0,0
卟,卟,bu,0,0
晡,晡,bu,0,0
擦,擦,ca,2,0
礤,礤,ca,0,0
嚓,嚓,ca,0,0
菜,菜,cai,2,0
睬,睬,cai,2,0
彩,彩,cai,2,0
采,采,cai,2,0
踩,踩,cai,2,0
猜,猜,cai,2,0
材,材,cai,2,0
才,才,cai,2,0
裁,裁,cai,2,0
蔡,蔡,cai,0,0
餐,餐,can,2,0
粲,粲,can,0,0
璨,璨,can,0,0
藏,藏,cang,2,0
操,操,cao,2,0
槽,槽,cao,2,0
嘈,嘈,cao,2,0
草,草,cao,2,0
糙,糙,cao,2,0
曹,曹,cao,1,0
螬,螬,cao,0,0
艚,艚,cao,0,0
漕,漕,cao,0,0
策,策,ce,2,0
岑,岑,cen,0,0
涔,涔,cen,0,0
曾,曾,ceng,2,0
蹭,蹭,ceng,0,0
茶,茶,cha,2,0
插,插,cha,2,0
差,差,cha,2,0
察,察,cha,2,0
叉,叉,cha,2,0
查,查,cha,2,0
岔,岔,cha,1,0
碴,碴,cha,0,0
汊,汊,cha,0,0
嵖,嵖,cha,0,0
槎,槎,cha,0,0
蹅,蹅,cha,0,0
杈,杈,cha,0,0
垞,垞,cha,0,0
檫,檫,cha,0,0
衩,衩,cha,0,0
搽,搽,cha,0,0
柴,柴,chai,2,0
拆,拆,chai,2,0
豺,豺,chai,1,0
瘥,瘥,chai,0,0
茝,茝,chai,0,0
孱,孱,chan,0,0
韂,韂,chan,0,0
澶,澶,chan,0,0
瀍,瀍,chan,0,0
躔,躔,chan,0,0
廛,廛,chan,0,0
巉,巉,chan,0,0
潺,潺,chan,0,0
羼,羼,chan,0,0
蟾,蟾,chan,0,0
裳,裳,chang,2,0
常,常,chang,2,0
唱,唱,chang,2,0
昌,昌,chang,2,0
倡,倡,chang,2,0
敞,敞,chang,2,0
猖,猖,chang,1,0
惝,惝,chang,0,0
徜,徜,chang,0,0
鬯,鬯,chang,0,0
嫦,嫦,chang,0,0
娼,娼,chang,0,0
菖,菖,chang,0,0
昶,昶,chang,0,0
氅,氅,chang,0,0
巢,巢,chao,2,0
吵,吵,chao,2,0
炒,炒,chao,2,0
超,超,chao,2,0
潮,潮,chao,2,0
嘲,嘲,chao,2,0
抄,抄,chao,2,0
晁,晁,chao,0,0
耖,耖,chao,0,0
怊,怊,chao,0,0
澈,澈,che,2,0
扯,扯,che,2,0
掣,掣,che,2,0
撤,撤,che,2,0
坼,坼,che,0,0
辰,辰,chen,2,0
忱,忱,chen,2,0
臣,臣,chen,2,0
沉,沉,chen,2,0
趁,趁,chen,2,0
晨,晨,chen,2,0
沈,沈,chen,1,0
宸,宸,chen,0,0
疢,疢,chen,0,0
琛,琛,chen,0,0
瞋,瞋,chen,0,0
郴,郴,chen,0,0
承,承,cheng,2,0
澄,澄,cheng,2,0
城,城,cheng,2,0
呈,呈,cheng,2,0
逞,逞,cheng,2,0
秤,秤,cheng,2,0
乘,乘,cheng,2,0
橙,橙,cheng,2,0
程,程,cheng,2,0
成,成,cheng,2,0
裎,裎,cheng,0,0
丞,丞,cheng,0,0
酲,酲,cheng,0,0
琤,琤,cheng,0,0
牚,牚,cheng,0,0
埕,埕,cheng,0,0
塍,塍,cheng,0,0
噌,噌,cheng,0,0
宬,宬,cheng,0,0
瞠,瞠,cheng,0,0
匙,匙,chi,2,0
豉,豉,chi,2,0
