Traditional,Simplified,Pinyin,Frequency,Notes
錒,锕,a,0,3
藹,蔼,ai,2,3
愛,爱,ai,2,2
礙,碍,ai,2,1
捱,挨,ai,2,8
皚,皑,ai,0,3
靄,霭,ai,0,3
曖,暧,ai,0,3
騃,呆,ai,0,4
嬡,嫒,ai,0,3
璦,瑷,ai,0,3
鎄,锿,ai,0,3
噯,嗳,ai,0,3
菴,庵,an,1,4
鵪,鹌,an,0,3
闇,暗,an,0,4
銨,铵,an,0,3
諳,谙,an,0,3
骯,肮,ang,2,1
奧,奥,ao,2,7
襖,袄,ao,1,1
嶴,岙,ao,0,8
驁,骜,ao,0,3
鼇,鳌,ao,0,4
媼,媪,ao,0,7
罷,罢,ba,2,2
壩,坝,ba,1,1
鈀,钯,ba,0,3
䰾,鲃,ba,0,5
擺,摆,bai,2,3
敗,败,bai,2,3
唄,呗,bai,0,3
辦,办,ban,2,1
頒,颁,ban,2,3
闆,板,ban,2,1
絆,绊,ban,2,3
鈑,钣,ban,0,5
綁,绑,bang,2,3
幫,帮,bang,2,1
謗,谤,bang,1,3
鎊,镑,bang,0,3
鮑,鲍,bao,2,3
報,报,bao,2,1
寶,宝,bao,2,1
飽,饱,bao,2,3
鉋,刨,bao,1,4
鴇,鸨,bao,0,3
備,备,bei,2,2
輩,辈,bei,2,3
貝,贝,bei,2,2
狽,狈,bei,2,3
盃,杯,bei,1,4
憊,惫,bei,1,3
揹,背,bei,1,4
鋇,钡,bei,0,3
鵯,鹎,bei,0,5
錛,锛,ben,0,3
繃,绷,beng,1,3
鏰,镚,beng,0,3
筆,笔,bi,2,2
畢,毕,bi,2,2
閉,闭,bi,2,3
痺,痹,bi,2,4
幣,币,bi,2,1
斃,毙,bi,2,1
篳,筚,bi,0,3
贔,赑,bi,0,5
賁,贲,bi,0,3
嗶,哔,bi,0,3
鰏,鲾,bi,0,5
鉍,铋,bi,0,3
詖,诐,bi,0,5
蹕,跸,bi,0,3
蓽,荜,bi,0,3
編,编,bian,2,3
辯,辩,bian,2,3
變,变,bian,2,3
邊,边,bian,2,2
辮,辫,bian,2,3
貶,贬,bian,2,3
鯿,鳊,bian,0,3
籩,笾,bian,0,3
緶,缏,bian,0,5
標,标,biao,2,1
錶,表,biao,2,1
鑣,镳,biao,0,3
飆,飙,biao,0,3
颮,飑,biao,0,5
鰾,鳔,biao,0,3
鏢,镖,biao,0,3
別,别,bie,2,7
彆,别,bie,1,1
鼈,鳖,bie,1,4
鱉,鳖,bie,1,3
癟,瘪,bie,0,3
殯,殡,bin,2,3
繽,缤,bin,2,3
濱,滨,bin,2,3
賓,宾,bin,2,2
瀕,濒,bin,2,3
鬢,鬓,bin,1,3
檳,槟,bin,0,3
鑌,镔,bin,0,3
髕,髌,bin,0,3
擯,摈,bin,0,3
儐,傧,bin,0,3
臏,膑,bin,0,3
並,并,bing,2,4
併,并,bing,2,4
餅,饼,bing,2,3
稟,禀,bing,1,4
蔔,卜,bo,2,1
撥,拨,bo,2,3
剝,剥,bo,2,7
駁,驳,bo,2,3
鵓,鹁,bo,0,3
餑,饽,bo,0,3
鎛,镈,bo,0,5
鮊,鲌,bo,0,5
鮁,鲅,bo,0,3
缽,钵,bo,0,3
鈸,钹,bo,0,3
蘗,檗,bo,0,8
鉑,铂,bo,0,3
襏,袯,bo,0,5
佈,布,bu,2,4
補,补,bu,2,1
鈽,钸,bu,0,5
綵,彩,cai,2,4
採,采,cai,2,4
財,财,cai,2,3
慘,惨,can,2,3
慚,惭,can,2,3
殘,残,can,2,3
燦,灿,can,2,1
蠶,蚕,can,2,1
參,参,can,2,2
叄,叁,can,0,7
驂,骖,can,0,3
滄,沧,cang,2,3
倉,仓,cang,2,2
艙,舱,cang,2,3
蒼,苍,cang,2,3
傖,伧,cang,0,3
測,测,ce,2,3
廁,厕,ce,2,3
側,侧,ce,2,3
冊,册,ce,2,4
厠,厕,ce,0,5
惻,恻,ce,0,3
層,层,ceng,2,1
剎,刹,cha,2,7
詫,诧,cha,2,3
餷,馇,cha,0,3
鍤,锸,cha,0,3
鑔,镲,cha,0,3
奼,姹,cha,0,7
蠆,虿,chai,0,3
儕,侪,chai,0,3
釵,钗,chai,0,3
纏,缠,chan,2,1
鏟,铲,chan,2,3
產,产,chan,2,2
蟬,蝉,chan,2,3
剷,铲,chan,1,4
攙,搀,chan,1,1
闡,阐,chan,1,3
饞,馋,chan,1,1
驏,骣,chan,0,5
懺,忏,chan,0,1
鑱,镵,chan,0,5
囅,冁,chan,0,3
諂,谄,chan,0,3
蕆,蒇,chan,0,3
禪,禅,chan,0,3
嬋,婵,chan,0,3
讒,谗,chan,0,1
滻,浐,chan,0,3
腸,肠,chang,2,3
長,长,chang,2,2
償,偿,chang,2,1
場,场,chang,2,3
暢,畅,chang,2,3
嘗,尝,chang,2,2
嚐,尝,chang,2,4
廠,厂,chang,2,1
閶,阊,chang,0,3
萇,苌,chang,0,5
倀,伥,chang,0,3
鯧,鲳,chang,0,3
悵,怅,chang,0,3
鈔,钞,chao,2,3
徹,彻,che,2,1
車,车,che,2,2
轍,辙,che,1,3
硨,砗,che,0,3
襯,衬,chen,2,1
塵,尘,chen,2,1
陳,陈,chen,2,3
沈,沈,chen,1,9
沈,沉,chen,1,8
縝,缜,chen,0,3
諶,谌,chen,0,3
齔,龀,chen,0,3
磣,碜,chen,0,3
讖,谶,chen,0,3
櫬,榇,chen,0,3
懲,惩,cheng,2,1
稱,称,cheng,2,1
撐,撑,cheng,2,4
誠,诚,cheng,2,3
湞,浈,cheng,0,3
蟶,蛏,cheng,0,3
赬,赪,cheng,0,3
棖,枨,cheng,0,3
檉,柽,cheng,0,3
騁,骋,cheng,0,3
呎,尺,chi,2,8
遲,迟,chi,2,1
熾,炽,chi,2,3
馳,驰,chi,2,3
恥,耻,chi,2,4
齒,齿,chi,2,2
喫,吃,chi,0,4
癡,痴,chi,0,4
鴟,鸱,chi,0,3
飭,饬,chi,0,3
蟲,虫,chong,2,2
衝,冲,chong,2,1
沖,冲,chong,2,7
寵,宠,chong,2,3
銃,铳,chong,0,3
籌,筹,chou,2,3
醜,丑,chou,2,1
綢,绸,chou,2,3
疇,畴,chou,1,3
幬,帱,chou,0,5
讎,雠,chou,0,3
儔,俦,chou,0,3
躊,踌,chou,0,3
儲,储,chu,2,3
處,处,chu,2,1
礎,础,chu,2,1
廚,厨,chu,2,4
鋤,锄,chu,2,3
櫥,橱,chu,2,4
觸,触,chu,2,1
雛,雏,chu,2,3
齣,出,chu,1,1
芻,刍,chu,0,2
躕,蹰,chu,0,4
絀,绌,chu,0,3
傳,传,chuan,2,3
釧,钏,chuan,0,3
牀,床,chuang,2,4
創,创,chuang,2,3
闖,闯,chuang,2,3
瘡,疮,chuang,2,3
戧,戗,chuang,0,3
愴,怆,chuang,0,3
錘,锤,chui,1,3
搥,捶,chui,0,4
鎚,锤,chui,0,4
脣,唇,chun,2,4
純,纯,chun,2,3
蒓,莼,chun,0,3
鶉,鹑,chun,0,3
輟,辍,chuo,2,3
綽,绰,chuo,2,3
齪,龊,chuo,0,3
詞,词,ci,2,3
辭,辞,ci,2,1
賜,赐,ci,2,3
薺,荠,ci,0,3
聰,聪,cong,2,1
從,从,cong,2,2
叢,丛,cong,2,1
蔥,葱,cong,1,4
囪,囱,cong,1,7
蓯,苁,cong,0,3
驄,骢,cong,0,3
樅,枞,cong,0,3
湊,凑,cou,2,4
輳,辏,cou,0,3
麤,粗,cu,0,4
竄,窜,cuan,2,2
鑹,镩,cuan,0,3
躥,蹿,cuan,0,3
攛,撺,cuan,0,3
吋,寸,cun,2,8
邨,村,cun,1,4
錯,错,cuo,2,3
銼,锉,cuo,1,3
達,达,da,2,2
韃,鞑,da,0,3
薘,荙,da,0,5
墶,垯,da,0,5
貸,贷,dai,2,3
帶,带,dai,2,2
膽,胆,dan,2,1
誕,诞,dan,2,3
擔,担,dan,2,1
單,单,dan,2,2
彈,弹,dan,2,3
躭,耽,dan,1,4
憚,惮,dan,0,3
撣,掸,dan,0,3
癉,瘅,dan,0,3
鉭,钽,dan,0,3
簞,箪,dan,0,3
殫,殚,dan,0,3
鄲,郸,dan,0,3
盪,荡,dang,2,4
當,当,dang,2,2
檔,档,dang,2,3
黨,党,dang,2,2
擋,挡,dang,2,3
蕩,荡,dang,2,3
鐺,铛,dang,1,3
襠,裆,dang,1,3
噹,当,dang,1,2
壋,垱,dang,0,5
讜,谠,dang,0,3
簹,筜,dang,0,5
氹,凼,dang,0,8
璫,珰,dang,0,5
碭,砀,dang,0,3
攩,挡,dang,0,4
搗,捣,dao,2,3
島,岛,dao,2,3
導,导,dao,2,1
禱,祷,dao,2,3
盜,盗,dao,2,7
燾,焘,dao,0,3
魛,鱽,dao,0,3
擣,捣,dao,0,4
鍀,锝,de,0,3
燈,灯,deng,2,1
鄧,邓,deng,1,1
鐙,镫,deng,0,3
滌,涤,di,2,3
締,缔,di,2,3
遞,递,di,2,1
敵,敌,di,2,1
牴,抵,di,1,4
鏑,镝,di,0,3
糴,籴,di,0,1
覿,觌,di,0,3
軑,轪,di,0,5
諦,谛,di,0,3
詆,诋,di,0,3
澱,淀,dian,2,1
點,点,dian,2,1
電,电,dian,2,1
墊,垫,dian,2,3
顛,颠,dian,2,3
癲,癫,dian,0,3
巔,巅,dian,0,3
鈿,钿,dian,0,3
調,调,diao,2,3
弔,吊,diao,2,4
釣,钓,diao,2,3
鵰,雕,diao,1,4
彫,雕,diao,1,4
銱,铞,diao,0,3
鯛,鲷,diao,0,3
疊,叠,die,2,4
諜,谍,die,2,3
鰈,鲽,die,0,3
釘,钉,ding,2,3
頂,顶,ding,2,3
訂,订,ding,2,3
錠,锭,ding,1,3
丟,丢,diu,2,7
銩,铥,diu,0,3
棟,栋,dong,2,3
凍,冻,dong,2,3
動,动,dong,2,2
東,东,dong,2,2
鼕,冬,dong,1,1
鶇,鸫,dong,0,3
腖,胨,dong,0,3
鬥,斗,dou,2,1
竇,窦,dou,0,3
荳,豆,dou,0,4
鈄,钭,dou,0,3
讀,读,du,2,3
獨,独,du,2,1
