㑯,kSimplifiedVariant,㑔
㑳,kSimplifiedVariant,㑇
㒓,kSimplifiedVariant,𠉂
㓨,kSimplifiedVariant,刾
㗲,kSimplifiedVariant,𠵾
㘚,kSimplifiedVariant,㘎
㜄,kSimplifiedVariant,㚯
㜏,kSimplifiedVariant,㛣
㜢,kSimplifiedVariant,𡞱
㜷,kSimplifiedVariant,𡝠
㞞,kSimplifiedVariant,𪨊
㠏,kSimplifiedVariant,㟆
㢝,kSimplifiedVariant,𢋈
㥮,kSimplifiedVariant,㤘
㦎,kSimplifiedVariant,𢛯
㩜,kSimplifiedVariant,㨫
㩳,kSimplifiedVariant,㧐
㷿,kSimplifiedVariant,𤈷
㺏,kSimplifiedVariant,𤠋
㿧,kSimplifiedVariant,𤽯
䀹,kSimplifiedVariant,𥅴
䁪,kSimplifiedVariant,𥇢
䁻,kSimplifiedVariant,䀥
䉙,kSimplifiedVariant,𥬀
䉬,kSimplifiedVariant,𫂈
䉲,kSimplifiedVariant,𥮜
䊭,kSimplifiedVariant,𥺅
䊷,kSimplifiedVariant,䌶
䋙,kSimplifiedVariant,䌺
䋚,kSimplifiedVariant,䌻
䋻,kSimplifiedVariant,䌾
䋿,kSimplifiedVariant,𦈓
䌈,kSimplifiedVariant,𦈖
䌋,kSimplifiedVariant,𦈘
䌖,kSimplifiedVariant,𦈜
䌝,kSimplifiedVariant,𦈟
䌟,kSimplifiedVariant,𦈞
䌥,kSimplifiedVariant,𦈠
䌰,kSimplifiedVariant,𦈙
䕳,kSimplifiedVariant,𦰴
䗿,kSimplifiedVariant,𧉞
䙡,kSimplifiedVariant,䙌
䜀,kSimplifiedVariant,䜧
䝻,kSimplifiedVariant,𧹕
䝼,kSimplifiedVariant,䞍
䞈,kSimplifiedVariant,𧹑
䢨,kSimplifiedVariant,𨑹
䥇,kSimplifiedVariant,䦂
䥩,kSimplifiedVariant,𨱖
䥱,kSimplifiedVariant,䥾
䦘,kSimplifiedVariant,𨸄
䦛,kSimplifiedVariant,䦶
䦟,kSimplifiedVariant,䦷
䦳,kSimplifiedVariant,𨷿
䧢,kSimplifiedVariant,𨸟
䪏,kSimplifiedVariant,𩏼
䪗,kSimplifiedVariant,𩐀
䪘,kSimplifiedVariant,𩏿
䫴,kSimplifiedVariant,𩖗
䬘,kSimplifiedVariant,𩙮
䬝,kSimplifiedVariant,𩙯
䬞,kSimplifiedVariant,𩙧
䭀,kSimplifiedVariant,𩠇
䭃,kSimplifiedVariant,𩠈
䭿,kSimplifiedVariant,𩧭
䮝,kSimplifiedVariant,𩧰
䮞,kSimplifiedVariant,𩨁
䮠,kSimplifiedVariant,𩧿
䮫,kSimplifiedVariant,𩨇
䮳,kSimplifiedVariant,𩨏
䮾,kSimplifiedVariant,𩧪
䯀,kSimplifiedVariant,䯅
䰾,kSimplifiedVariant,鲃
䱙,kSimplifiedVariant,𩾈
䱬,kSimplifiedVariant,𩾊
䱰,kSimplifiedVariant,𩾋
䱷,kSimplifiedVariant,䲣
䱽,kSimplifiedVariant,䲝
䲁,kSimplifiedVariant,鳚
䲖,kSimplifiedVariant,𩾂
䲰,kSimplifiedVariant,𪉂
䴬,kSimplifiedVariant,鹮
䴬,kSimplifiedVariant,𪎈
䴴,kSimplifiedVariant,𪎋
丟,kSimplifiedVariant,丢
並,kSimplifiedVariant,并
乾,kSimplifiedVariant,干
亂,kSimplifiedVariant,乱
亞,kSimplifiedVariant,亚
佇,kSimplifiedVariant,伫
余,kSimplifiedVariant,余
併,kSimplifiedVariant,并
來,kSimplifiedVariant,来
侖,kSimplifiedVariant,仑
侶,kSimplifiedVariant,侣
俁,kSimplifiedVariant,俣
係,kSimplifiedVariant,系
俔,kSimplifiedVariant,伣
俠,kSimplifiedVariant,侠
俥,kSimplifiedVariant,伡
倀,kSimplifiedVariant,伥
倆,kSimplifiedVariant,俩
倈,kSimplifiedVariant,俫
倬,kSimplifiedVariant,仓
個,kSimplifiedVariant,个
們,kSimplifiedVariant,们
倫,kSimplifiedVariant,伦
倲,kSimplifiedVariant,㑈
偉,kSimplifiedVariant,伟
偑,kSimplifiedVariant,㐽
側,kSimplifiedVariant,侧
